plant,date,VS_PS[%],T_ww[degC],HRT_AD[day],SRT_AS[day],m_PS[%],VSR_[%]
Dig5,2016-08-14,0.7856899346782433,21.062554000000027,23.74818065850551,0.0,1.0,60.29388289158469
Dig5,2016-08-15,0.7868063873617892,21.09295066666669,24.112887990713155,0.0,1.0,60.38829706661443
Dig5,2016-08-16,0.7872015289711313,21.10402933333336,24.54612942068804,0.0,1.0,60.510965220540655
Dig5,2016-08-17,0.7873373356635085,21.097413666666693,25.02007550425456,0.0,1.0,60.64773893420436
Dig5,2016-08-18,0.7860511943530153,21.063143000000025,25.32978427323466,0.0,1.0,60.74386024575028
Dig5,2016-08-19,0.7810384263951339,21.014120000000027,25.50729217592217,0.0,1.0,60.80643844037713
Dig5,2016-08-20,0.777667571812438,20.99491566666669,25.6855175876507,0.0,1.0,60.8164158562012
Dig5,2016-08-21,0.7763448647344738,20.99957433333336,25.744332501312915,0.0,1.0,60.81469815627693
Dig5,2016-08-22,0.7762538791827686,21.01040933333336,25.8729325150964,0.0,1.0,60.80934906409392
Dig5,2016-08-23,0.775735977397877,21.029880000000027,26.04467842424419,0.0,1.0,60.82489592337953
Dig5,2016-08-24,0.7739305876255153,21.04889566666669,26.574894305796693,0.0,1.0,60.86121648139464
Dig5,2016-08-25,0.7717718697179804,21.075148000000024,26.873740720631385,0.0,1.0,60.890883665929366
Dig5,2016-08-26,0.7712575304053557,21.109708333333355,27.131749166672147,0.0,1.0,60.91771605782328
Dig5,2016-08-27,0.7710474079811289,21.149135333333355,27.35917090906127,0.0,1.0,60.96920376516303
Dig5,2016-08-28,0.7706619905362406,21.18907166666669,27.465982856749687,0.0,1.0,61.02729603172739
Dig5,2016-08-29,0.7712336397213025,21.228543666666685,27.681714700965664,0.0,1.0,61.0521489074394
Dig5,2016-08-30,0.7710535955841796,21.27201700000002,27.775644358167995,0.0,1.0,61.04398213467167
Dig5,2016-08-31,0.7702396103058845,21.31531733333335,27.57832695501727,0.0,1.0,61.03130102695236
Dig5,2016-09-01,0.7697155466146729,21.36765533333336,27.28332049284231,0.0,1.0,61.04463520168535
Dig5,2016-09-02,0.7703487812611102,21.418672666666687,27.01108708503789,0.0,1.0,61.03864298732358
Dig5,2016-09-03,0.7721701946263478,21.470234666666684,26.705107176162883,0.0,1.0,60.97856874579675
Dig5,2016-09-04,0.7743959766207104,21.53349733333335,25.98341991600288,0.0,1.0,60.901447717001886
Dig5,2016-09-05,0.7757116339563072,21.583024666666688,24.9872314666614,0.0,1.0,60.83670778212775
Dig5,2016-09-06,0.775777376467108,21.62708366666669,24.46551452577792,0.0,1.0,60.82088085477884
Dig5,2016-09-07,0.775367711262415,21.67801600000002,24.3342934166302,0.0,1.0,60.79806081781013
Dig5,2016-09-08,0.7768501005731682,21.725342000000023,24.00930389534784,0.0,1.0,60.77098924332464
Dig5,2016-09-09,0.7775687837024855,21.77071366666669,23.32575801645561,0.0,1.0,60.71347371827434
Dig5,2016-09-10,0.7782983383942707,21.81528966666669,22.96136333120688,0.0,1.0,60.64624740453971
Dig5,2016-09-11,0.7781656585059624,21.86640433333336,22.847951376111364,0.0,1.0,60.55986588717473
Dig5,2016-09-12,0.7787311866576949,21.924389333333355,22.615792510958528,0.0,1.0,60.47782382316881
Dig5,2016-09-13,0.7784087172709475,21.98318566666669,22.281019431162985,0.0,1.0,60.33641515155293
Dig5,2016-09-14,0.7778086690432929,22.027860666666687,21.668070486868817,0.0,1.0,60.127776405539215
Dig5,2016-09-15,0.7753039416879829,22.03512566666669,20.94803818649957,0.0,1.0,59.87895303487592
Dig5,2016-09-16,0.7715226092794495,22.04394900000002,20.40326954259292,0.0,1.0,59.61229065121568
Dig5,2016-09-17,0.7709185495431696,22.05370833333336,19.969912273104057,0.0,1.0,59.3660030391026
Dig5,2016-09-18,0.7746050247012969,22.085508000000026,19.35749173857736,0.0,1.0,59.105736190925896
